"RAE","Ministere (Client)","NOM DU SITE","Label","ADRESSE","CODE POSTAL","VILLE"
30001440198298,"Ministďż˝res ďż˝conomiques et financiers","TRESORERIE GENERALE D I.ET V.","Administration","37 PLACE DU COLOMBIER",35000,"RENNES"
30001440240282,"Ministďż˝res ďż˝conomiques et financiers","DIRECTION SERVICES FISCAUX (R ENNES)","Administration","2 BOULEVARD MAGENTA",35000,"RENNES"
30001440267045,"JUSTICE","CENTRE PENITENTIAIRE DES FEMMES DE  RENNES","Prison","18 B RUE DE CHATILLON 35000 RENNES",35000,"RENNES"
30001441414542,"Ministďż˝res ďż˝conomiques et financiers","DIRECTION SERVICES INFORMATIQUES OUEST","IT","14 RUE JEAN LOUIS BERTRAND",35000,"RENNES"
30001444910479,"INTERIEUR","CENTRE NATIONAL DE TRAITEMENT - ANTAI RENNES","IT","2 ALLEE ERMENGARDE D'ANJOU - ZAC ATALANTE CHAMPEAUX",35000,"RENNES"
30001444931500,"INTERIEUR","S.G.A.P","Administration","28 RUE DE LA PILATE",35136,"ST JACQUES DE LA LANDE"
30001460025099,"JUSTICE","M JUSTICE  MAISON D ARRET","Prison","171 RUE DU GENERAL PAULET 29200 BREST",29200,"BREST"
30001470385080,"INTERIEUR","ECOLE DE GENDARMERIE","Ecole","TY VOUGERET",29150,"DINEAULT"
30001520465808,"JUSTICE","MIN JUS - DAP –BX -MC ST MARTIN DE RE","Administration","LA CITADELLE 17410 ST MARTIN DE RE",17410,"ST MARTIN DE RE"
30001520492148,"Ministďż˝res ďż˝conomiques et financiers","DIRECTION GENERALE DES DOUANES","Administration","1730 1 RUE DU JURA",17000,"LA ROCHELLE"
30001521068690,"INTERIEUR","ECOLE DE GENDARMERIE","Ecole","ROND POINT ALBERT BIGNON",17300,"ROCHEFORT"
30001540044862,"Ministďż˝res ďż˝conomiques et financiers","SCES FISC VIENNE/CENT REG INFO","Administration","14 RUE SALVADOR ALLENDE",86000,"POITIERS"
30001550350438,"INTERIEUR","MINISTERE DE L'INTERIEUR","Ministere","41 RUE BARTHELEMY THIMONNIER",87280,"LIMOGES"
30001550414113,"INTERIEUR","SCE DE DIFFUSION GENDARMERIE","Service","RUE PAUL CLAUDEL",87000,"LIMOGES"
30001550451231,"INTERIEUR","POLICE NATIONALE - ECLPN - CONTRAT CRAEM","Administration","ZI BUXEROLLES",87000,"LIMOGES"
30001610238012,"EDUCATION","ENSUP - RECTORAT DE L ACADEMIE DE BX","Ecole","5 RUE JOSEPH DE CARAYON LATOUR",33000,"BORDEAUX"
30001610292018,"Ministďż˝res ďż˝conomiques et financiers","TRESORERIE GENERALE","Administration","RUE MARGUERITE CRAUSTE",33000,"BORDEAUX"
30001610319785,"JUSTICE","MIN JUS - DAP -BX -  CP BORDEAUX GRADIGNAN","Administration","- BAT A 36 RUE DU BOURDILLAT BP 109 33170 GRADIGNAN",33170,"GRADIGNAN"
30001611321283,"JUSTICE","MIN JUS - T.G.I. DE BORDEAUX","Tribunal","30 RUE DES FRERES BONIE 33000 BORDEAUX",33000,"BORDEAUX"
30001611433329,"INTERIEUR","INTERIEUR COMPAGNIE DE CRS Nďż˝14","Caserne","PETIT CHEMIN DE CAMPARIAN",33150,"CENON"
30001611990181,"INTERIEUR","INTERIEUR SGAP BX","Administration","RUE FRANCOIS DE SOURDIS",33000,"BORDEAUX"
30001612459410,"EDUCATION","RECTORAT BORDEAUX MERIADECK","Ecole","114 RUE GEORGES BONNAC",33000,"BORDEAUX"
30001620188613,"JUSTICE","MIN JUS - DAP -BX -  CD MAUZAC","Administration","NOUVEL ETABLISSEMENT 24150 MAUZAC ET GRAND CASTANG",24150,"MAUZAC ET GRAND CASTANG"
30001620400045,"Ministďż˝res ďż˝conomiques et financiers","DIRECTION DES SERVICES FISCAUX","Administration","CITE ADMINISTRATIVE",24000,"PERIGUEUX"
30001620580791,"INTERIEUR","ECOLE GENDARMERIE C N E F G  SAINT ASTIER","Ecole","Route Gravelle",24110,"ST ASTIER"
30001630205962,"JUSTICE","MIN JUS - DAP -BX – CD EYSSES","Administration","1 RUE PIERRE DOIZE BP 315 47300 VILLENEUVE SUR LOT",47300,"VILLENEUVE SUR LOT"
30001710202378,"Ministďż˝res ďż˝conomiques et financiers","CENTRE SERVICES INFORMATIQUES","IT","10 RUE CLAUDE GUICHARD",63000,"CLERMONT FERRAND"
30001710280321,"Ministďż˝res ďż˝conomiques et financiers","HOTEL DES IMPOTS","Administration","65 BOULEVARD BERTHELOT",63400,"CHAMALIERES"
30001710344444,"JUSTICE","CD DE RIOM","Administration","17 RUE SOUBRANY 63200 RIOM",63200,"RIOM"
30001710489874,"JUSTICE","TRIBUNAL DE GRANDE INSTANCE","Tribunal","16 PLACE DE L ETOILE 63000 CLERMONT FERRAND",63000,"CLERMONT FERRAND"
30001720084136,"INTERIEUR","ECOLE DE GENDARMERIE","Ecole","AVENUE JULES GUESDE",3100,"MONTLUCON"
30001750381272,"INTERIEUR","DEFENSE CASERNE LA BACHELLERIE","Caserne","LA BACHELLERIE SUD",19000,"TULLE"
30001750586784,"Ministďż˝res ďż˝conomiques et financiers","CITE ADMINISTRATIVE","Administration","11 PLACE MARTIAL BRIGOULEIX",19011,"TULLE"
30001760132997,"INTERIEUR","ETABLISSEMENT CENTRAL ADMINISTRATIF ET DU SOUTIEN DE LA GENDARMERIE NATIONALE 6 LA GUIGNIERE","Administration","RUE DE LA GUIGNIERE",36300,"LE BLANC"
30001760158747,"JUSTICE","MAISON CENTRALE- ST MAUR","Prison","BEL AIR 36250 ST MAUR",36250,"ST MAUR"
30001910174033,"Ministďż˝res ďż˝conomiques et financiers","MEFI DGI DSF RHONE HOTEL DES FINANCES","Administration","2 RUE DE LA CHARITE",69002,"LYON 02"
30001910275386,"Ministďż˝res ďż˝conomiques et financiers","DIRECTION DES SERVICES INFORMA","IT","5 PETITE RUE DE MONPLAISIR",69008,"LYON"
30001910545277,"Ministďż˝res ďż˝conomiques et financiers","CITE ADMNISTRATIVE ETAT","Administration","165 RUE GARIBALDI",69003,"LYON 03"
30001910691514,"INTERIEUR","CANTONNEMENT DE CRS","Caserne","CHEMIN DES PARTICELLES",69680,"CHASSIEU"
